DATE,SITE,SECCHI,TYPE,MODEL,MONTH,decimaldate
2015-01-14,1,NA,L8,0,1,2015.04
2015-01-14,2,NA,L8,0,1,2015.04
2015-01-14,3,NA,L8,0,1,2015.04
2015-01-14,4,NA,L8,0,1,2015.04
2015-01-14,5,NA,L8,0,1,2015.04
2015-01-14,6,NA,L8,0,1,2015.04
2015-01-14,7,NA,L8,0,1,2015.04
2015-01-14,8,NA,L8,0,1,2015.04
2015-01-14,9,NA,L8,0,1,2015.04
2015-01-14,10,NA,L8,0,1,2015.04
2015-01-14,11,NA,L8,0,1,2015.04
2015-01-14,12,NA,L8,0,1,2015.04
2015-01-14,13,NA,L8,0,1,2015.04
2015-01-14,14,NA,L8,0,1,2015.04
2015-01-14,15,NA,L8,0,1,2015.04
2015-01-14,16,NA,L8,0,1,2015.04
2015-01-14,17,NA,L8,0,1,2015.04
2015-08-10,1,NA,L8,0,8,2015.61
2015-08-10,2,NA,L8,0,8,2015.61
2015-08-10,3,NA,L8,0,8,2015.61
2015-08-10,4,NA,L8,0,8,2015.61
2015-08-10,5,NA,L8,0,8,2015.61
2015-08-10,6,NA,L8,0,8,2015.61
2015-08-10,7,NA,L8,0,8,2015.61
2015-08-10,8,NA,L8,0,8,2015.61
2015-08-10,9,NA,L8,0,8,2015.61
2015-08-10,10,NA,L8,0,8,2015.61
2015-08-10,11,NA,L8,0,8,2015.61
2015-08-10,12,NA,L8,0,8,2015.61
2015-08-10,13,NA,L8,0,8,2015.61
2015-08-10,14,NA,L8,0,8,2015.61
2015-08-10,15,NA,L8,0,8,2015.61
2015-08-10,16,NA,L8,0,8,2015.61
2015-08-10,17,1.464951188,L8,0,8,2015.61
2016-09-29,1,NA,L8,0,9,2016.75
2016-09-29,2,NA,L8,0,9,2016.75
2016-09-29,3,NA,L8,0,9,2016.75
2016-09-29,4,NA,L8,0,9,2016.75
2016-09-29,5,NA,L8,0,9,2016.75
2016-09-29,6,NA,L8,0,9,2016.75
2016-09-29,7,NA,L8,0,9,2016.75
2016-09-29,8,NA,L8,0,9,2016.75
2016-09-29,9,NA,L8,0,9,2016.75
2016-09-29,10,NA,L8,0,9,2016.75
2016-09-29,11,NA,L8,0,9,2016.75
2016-09-29,12,NA,L8,0,9,2016.75
2016-09-29,13,NA,L8,0,9,2016.75
2016-09-29,14,NA,L8,0,9,2016.75
2016-09-29,15,NA,L8,0,9,2016.75
2016-09-29,16,NA,L8,0,9,2016.75
2016-09-29,17,NA,L8,0,9,2016.75
2020-10-26,1,NA,L8,0,10,2020.82
2020-10-26,2,NA,L8,0,10,2020.82
2020-10-26,3,NA,L8,0,10,2020.82
2020-10-26,4,NA,L8,0,10,2020.82
2020-10-26,5,NA,L8,0,10,2020.82
2020-10-26,6,NA,L8,0,10,2020.82
2020-10-26,7,NA,L8,0,10,2020.82
2020-10-26,8,NA,L8,0,10,2020.82
2020-10-26,9,NA,L8,0,10,2020.82
