DATE,SITE,SECCHI,TYPE,MODEL,MONTH,decimaldate
2017-06-30,2,NA,S2B,0,6,2017.5
2017-06-30,6,NA,S2B,0,6,2017.5
2017-06-30,16,NA,S2B,0,6,2017.5
2017-10-18,2,1.345757126,S2B,0,10,2017.8
2017-10-18,6,1.061790972,S2B,0,10,2017.8
2017-10-18,16,1.815932872,S2B,0,10,2017.8
2017-10-25,2,NA,S2B,0,10,2017.82
2017-10-25,6,NA,S2B,0,10,2017.82
2017-10-25,16,NA,S2B,0,10,2017.82
2017-10-28,2,1.483023588,S2B,0,10,2017.83
2017-10-28,6,2.184592212,S2B,0,10,2017.83
2017-10-28,16,2.920308682,S2B,0,10,2017.83
2017-11-17,2,1.550345106,S2B,0,11,2017.88
2017-11-17,6,1.156180945,S2B,0,11,2017.88
2017-11-17,16,1.344833836,S2B,0,11,2017.88
2017-11-27,2,1.181584053,S2B,0,11,2017.91
2017-11-27,6,4.2617582,S2B,0,11,2017.91
2017-11-27,16,4.573217313,S2B,0,11,2017.91
2017-12-14,2,NA,S2B,0,12,2017.95
2017-12-14,6,1.121632134,S2B,0,12,2017.95
2017-12-14,16,NA,S2B,0,12,2017.95
2017-12-17,2,NA,S2B,0,12,2017.96
2017-12-17,6,NA,S2B,0,12,2017.96
2017-12-17,16,NA,S2B,0,12,2017.96
2018-01-03,2,NA,S2B,0,1,2018.01
2018-01-03,6,2.500739961,S2B,0,1,2018.01
2018-01-03,16,NA,S2B,0,1,2018.01
2018-01-06,2,NA,S2B,0,1,2018.02
2018-01-06,6,1.132574919,S2B,0,1,2018.02
2018-01-06,16,NA,S2B,0,1,2018.02
2018-01-23,2,NA,S2B,0,1,2018.06
2018-01-23,6,NA,S2B,0,1,2018.06
2018-01-23,16,NA,S2B,0,1,2018.06
2018-01-26,2,NA,S2B,0,1,2018.07
2018-01-26,6,3.630045357,S2B,0,1,2018.07
2018-01-26,16,2.851501928,S2B,0,1,2018.07
2018-02-05,2,NA,S2B,0,2,2018.1
2018-02-05,6,1.633661981,S2B,0,2,2018.1
2018-02-05,16,1.314998373,S2B,0,2,2018.1
2018-02-25,2,NA,S2B,0,2,2018.15
2018-02-25,6,5.847467821,S2B,0,2,2018.15
2018-02-25,16,NA,S2B,0,2,2018.15
2018-03-14,2,NA,S2B,0,3,2018.2
2018-03-14,6,3.096519238,S2B,0,3,2018.2
2018-03-14,16,2.91708001,S2B,0,3,2018.2
2018-03-24,2,NA,S2B,0,3,2018.23
2018-03-24,6,NA,S2B,0,3,2018.23
2018-03-24,16,NA,S2B,0,3,2018.23
2018-04-06,2,NA,S2B,0,4,2018.26
2018-04-06,6,NA,S2B,0,4,2018.26
2018-04-06,16,NA,S2B,0,4,2018.26
2018-04-13,2,NA,S2B,0,4,2018.28
2018-04-13,6,2.841235109,S2B,0,4,2018.28
2018-04-13,16,1.455597833,S2B,0,4,2018.28
2018-04-26,2,NA,S2B,0,4,2018.32
2018-04-26,6,NA,S2B,0,4,2018.32
2018-04-26,16,NA,S2B,0,4,2018.32
2018-05-03,2,NA,S2B,0,5,2018.34
2018-05-03,6,3.146810972,S2B,0,5,2018.34
2018-05-03,16,1.587694508,S2B,0,5,2018.34
2018-05-23,2,NA,S2B,0,5,2018.39
2018-05-23,6,1.994620509,S2B,0,5,2018.39
2018-05-23,16,1.465006062,S2B,0,5,2018.39
2018-05-26,2,NA,S2B,0,5,2018.4
2018-05-26,6,NA,S2B,0,5,2018.4
2018-05-26,16,NA,S2B,0,5,2018.4
2018-06-02,2,NA,S2B,0,6,2018.42
2018-06-02,6,3.33939649,S2B,0,6,2018.42
