decimaldate,date,insitu,acolite,seadas,site,days,type_spec,type
NA,'17-Aug-2016',0.74,1.443302,NA,3,1,2,S2
NA,'17-Aug-2016',0.75,1.6605572,NA,5,1,2,S2
NA,'17-Aug-2016',1.52,1.3237262,NA,6,1,2,S2
NA,'17-Aug-2016',1.09,1.5970634,NA,12,1,2,S2
NA,'17-Aug-2016',0.94,1.195237,NA,15,1,2,S2
NA,'17-Aug-2016',0.97,1.3517936,NA,16,1,2,S2
NA,'17-Aug-2016',1.6,1.7317978,NA,17,1,2,S2
NA,'18-Oct-2016',0.7,1.2079337,NA,2,0,2,S2
NA,'18-Oct-2016',0.95,1.4930301,NA,3,0,2,S2
NA,'18-Oct-2016',0.9,1.2791227,NA,5,0,2,S2
NA,'18-Oct-2016',0.9,1.2464573,NA,6,0,2,S2
NA,'18-Oct-2016',1,1.5394052,NA,8,0,2,S2
NA,'18-Oct-2016',0.45,1.1720988,NA,11,0,2,S2
NA,'18-Oct-2016',0.85,1.1069481,NA,12,0,2,S2
NA,'18-Oct-2016',0.4,1.3376877,NA,13,0,2,S2
NA,'18-Oct-2016',0.9,1.2995324,NA,14,0,2,S2
NA,'18-Oct-2016',0.65,1.1066806,NA,15,0,2,S2
NA,'18-Oct-2016',0.95,1.2270057,NA,16,0,2,S2
NA,'18-Oct-2016',0.8,1.2633729,NA,17,0,2,S2
NA,'27-Apr-2018',1.25,2.0432749,NA,5,1,2,S2
NA,'27-Apr-2018',0.7,1.4397014,NA,17,1,2,S2
NA,'15-Oct-2019',0.5,1.4600288,NA,3,0,3,S2
NA,'15-Oct-2019',NaN,1.1810551,NA,5,0,3,S2
NA,'15-Oct-2019',0.4,1.1018633,NA,6,0,3,S2
NA,'15-Oct-2019',0.4,1.0600719,NA,12,0,3,S2
NA,'15-Oct-2019',0.57,1.1247288,NA,15,0,3,S2
NA,'15-Oct-2019',0.45,1.2846752,NA,16,0,3,S2
NA,'15-Oct-2019',NaN,1.1508836,NA,17,0,3,S2
NA,'27-Apr-2021',0.85,1.222705,NA,12,0,3,S2
NA,'27-Apr-2021',0.63,1.2943877,NA,3,0,3,S2
NA,'27-Apr-2021',0.56,1.2069076,NA,15,0,3,S2
NA,'27-Apr-2021',0.55,1.040851,NA,6,0,3,S2
NA,'27-Apr-2021',0.4,0.82682109,NA,16,0,3,S2
NA,'27-Apr-2021',0.75,1.0595556,NA,17,0,3,S2
NA,'27-Apr-2021',0.6,0.95235431,NA,5,0,3,S2
NA,'08-Apr-2013',0.9,1.4831167,NA,6,1,1,L8
NA,'08-Apr-2013',1.1,1.6121672,NA,16,1,1,L8
NA,'01-May-2019',1.1,1.179619,NA,5,0,1,L8
NA,27-Apr-21,0.4,NA,0.864758627,16,0,NA,S2
NA,1-May-19,0.35,NA,0.885412094,2,0,NA,L8
NA,1-May-19,0.65,NA,1.0990078,13,0,NA,L8
NA,1-May-19,0.7,NA,1.153605945,8,0,NA,L8
NA,27-Apr-21,0.6,NA,1.241933273,5,0,NA,S2
NA,18-Oct-16,0.7,NA,1.261993936,2,0,NA,S2
NA,15-Oct-19,0.4,NA,1.323175516,12,0,NA,S2
NA,15-Oct-20,0.76,NA,1.327633113,15,1,NA,S2
NA,1-May-19,0.8,NA,1.376306688,15,0,NA,L8
NA,15-Oct-19,0.4,NA,1.386755487,6,0,NA,S2
NA,18-Oct-16,0.65,NA,1.394302665,15,0,NA,S2
NA,18-Oct-16,0.85,NA,1.405962465,12,0,NA,S2
NA,17-Aug-16,0.94,NA,1.408577305,15,1,NA,S2
NA,27-Apr-21,0.55,NA,1.415340899,6,0,NA,S2
NA,15-Oct-19,0.57,NA,1.442973225,15,0,NA,S2
NA,27-Apr-21,0.75,NA,1.467544119,17,0,NA,S2
NA,1-May-19,0.85,NA,1.546182664,6,0,NA,L8
NA,18-Oct-16,0.4,NA,1.552577903,13,0,NA,S2
NA,15-Oct-19,0.45,NA,1.611908522,16,0,NA,S2
NA,27-Apr-21,0.56,NA,1.627012945,15,0,NA,S2
NA,18-Oct-16,0.95,NA,1.633989894,16,0,NA,S2
NA,18-Oct-16,0.9,NA,1.647485473,14,0,NA,S2
NA,27-Apr-21,0.85,NA,1.68571567,12,0,NA,S2
NA,18-Oct-16,0.9,NA,1.717458902,5,0,NA,S2
NA,1-May-19,1.1,NA,1.72898833,5,0,NA,L8
NA,15-Oct-20,0.55,NA,1.733929778,3,1,NA,S2
NA,15-Oct-20,0.62,NA,1.742672064,16,1,NA,S2
NA,18-Oct-16,0.8,NA,1.749120737,17,0,NA,S2
NA,18-Oct-16,0.9,NA,1.752889432,6,0,NA,S2
NA,17-Aug-16,0.97,NA,1.770562128,16,1,NA,S2
NA,27-Apr-21,0.63,NA,1.797842672,3,0,NA,S2
NA,1-May-19,0.65,NA,1.809499472,12,0,NA,L8
NA,17-Aug-16,1.52,NA,1.829776748,6,1,NA,S2
NA,17-Aug-16,0.74,NA,1.848998085,3,1,NA,S2
NA,15-Oct-19,0.5,NA,1.858352413,3,0,NA,S2
NA,18-Oct-16,0.95,NA,1.883762286,3,0,NA,S2
NA,15-Oct-20,0.6,NA,1.903139399,5,1,NA,S2
NA,18-Oct-16,1,NA,1.961495704,8,0,NA,S2
NA,15-Oct-20,0.65,NA,1.997252623,6,1,NA,S2
NA,15-Oct-20,0.73,NA,2.026182729,12,1,NA,S2
NA,15-Oct-20,0.55,NA,2.04945725,17,1,NA,S2
NA,8-Apr-13,0.9,NA,2.050635327,6,1,NA,L8
NA,27-Apr-18,0.7,NA,2.068175583,17,1,NA,S2
NA,27-Apr-18,0.7,NA,2.068175583,17,1,NA,S2
NA,1-May-19,0.68,NA,2.124448791,14,0,NA,L8
NA,17-Aug-16,1.09,NA,2.270644799,12,1,NA,S2
NA,17-Aug-16,0.75,NA,2.389390555,5,1,NA,S2
NA,8-Apr-13,1.1,NA,2.474068279,16,1,NA,L8
NA,1-May-19,0.95,NA,2.785536615,3,0,NA,L8
NA,17-Aug-16,1.6,NA,2.857092086,17,1,NA,S2
NA,27-Apr-18,1.25,NA,3.177731268,5,1,NA,S2
NA,'15-Oct-2020',0.73,1.5141066,NA,12,1,2,S2
NA,'15-Oct-2020',0.55,1.3467348,NA,3,1,2,S2
NA,'15-Oct-2020',0.76,1.1104002,NA,15,1,2,S2
NA,'15-Oct-2020',0.65,1.5194716,NA,6,1,2,S2
NA,'15-Oct-2020',0.62,1.4416319,NA,16,1,2,S2
NA,'15-Oct-2020',0.6,0.82747203,NA,13,1,2,S2
NA,'15-Oct-2020',0.57,NaN,NA,2,1,2,S2
NA,'15-Oct-2020',0.39,NaN,NA,11,1,2,S2
NA,'15-Oct-2020',0.55,1.5570586,NA,17,1,2,S2
NA,'15-Oct-2020',0.6,1.4874351,NA,5,1,2,S2
NA,'15-Oct-2020',0.7,1.0680916,NA,8,1,2,S2
NA,'15-Oct-2020',0.65,NaN,NA,14,1,2,S2
NA,'15-Oct-2020',1,NaN,NA,9,1,2,S2
