date,secchi,rrs,site,type,ac,wavelength
15-Oct-2019,NaN,NaN,1,S2B,acolite,443
15-Oct-2019,NaN,NaN,2,S2B,acolite,443
15-Oct-2019,1.4600288,0.01244296,3,S2B,acolite,443
15-Oct-2019,NaN,NaN,4,S2B,acolite,443
15-Oct-2019,1.1810551,0.014157376,5,S2B,acolite,443
15-Oct-2019,1.1018633,0.013720674,6,S2B,acolite,443
15-Oct-2019,1.7011164,0.012055325,7,S2B,acolite,443
15-Oct-2019,NaN,NaN,8,S2B,acolite,443
15-Oct-2019,NaN,NaN,9,S2B,acolite,443
15-Oct-2019,NaN,NaN,10,S2B,acolite,443
15-Oct-2019,NaN,NaN,11,S2B,acolite,443
15-Oct-2019,1.0600719,0.013564814,12,S2B,acolite,443
15-Oct-2019,NaN,NaN,13,S2B,acolite,443
15-Oct-2019,NaN,NaN,14,S2B,acolite,443
15-Oct-2019,1.1247288,0.012827989,15,S2B,acolite,443
15-Oct-2019,1.2846752,0.01290074,16,S2B,acolite,443
15-Oct-2019,1.1508836,0.014044692,17,S2B,acolite,443
27-Apr-2021,NaN,NaN,1,S2B,acolite,443
27-Apr-2021,NaN,NaN,2,S2B,acolite,443
27-Apr-2021,1.2943877,0.008430299,3,S2B,acolite,443
27-Apr-2021,NaN,NaN,4,S2B,acolite,443
27-Apr-2021,0.95235431,0.011324457,5,S2B,acolite,443
27-Apr-2021,1.040851,0.011232625,6,S2B,acolite,443
27-Apr-2021,1.9210782,0.007574591,7,S2B,acolite,443
27-Apr-2021,NaN,NaN,8,S2B,acolite,443
27-Apr-2021,NaN,NaN,9,S2B,acolite,443
27-Apr-2021,NaN,NaN,10,S2B,acolite,443
27-Apr-2021,NaN,NaN,11,S2B,acolite,443
27-Apr-2021,1.222705,0.010357833,12,S2B,acolite,443
27-Apr-2021,NaN,NaN,13,S2B,acolite,443
27-Apr-2021,NaN,NaN,14,S2B,acolite,443
27-Apr-2021,1.2069076,0.00929353,15,S2B,acolite,443
27-Apr-2021,0.82682109,0.010856105,16,S2B,acolite,443
27-Apr-2021,1.0595556,0.011515091,17,S2B,acolite,443
27-Apr-2021,NaN,NaN,1,S2B,seadas,443
27-Apr-2021,NaN,NaN,2,S2B,seadas,443
27-Apr-2021,1.797842672,0.003817112,3,S2B,seadas,443
27-Apr-2021,NaN,NaN,4,S2B,seadas,443
27-Apr-2021,1.241933273,0.003666223,5,S2B,seadas,443
27-Apr-2021,1.415340899,0.004733556,6,S2B,seadas,443
27-Apr-2021,2.39917468,0.004810668,7,S2B,seadas,443
27-Apr-2021,NaN,NaN,8,S2B,seadas,443
27-Apr-2021,NaN,NaN,9,S2B,seadas,443
27-Apr-2021,NaN,NaN,10,S2B,seadas,443
27-Apr-2021,NaN,NaN,11,S2B,seadas,443
27-Apr-2021,1.68571567,0.005042445,12,S2B,seadas,443
27-Apr-2021,NaN,NaN,13,S2B,seadas,443
27-Apr-2021,NaN,NaN,14,S2B,seadas,443
27-Apr-2021,1.627012945,0.004723112,15,S2B,seadas,443
