DATE,SITE,SECCHI,TYPE,MODEL,MONTH,decimaldate
2004-09-30,1,NA,INSITU,0,9,2004.75
2004-10-26,2,NA,INSITU,0,10,2004.82
2004-11-10,3,NA,INSITU,0,11,2004.86
2004-12-08,4,NA,INSITU,0,12,2004.94
2005-02-09,5,NA,INSITU,0,2,2005.11
2005-03-22,6,NA,INSITU,0,3,2005.22
2005-04-18,7,NA,INSITU,0,4,2005.3
2005-05-18,8,NA,INSITU,0,5,2005.38
2005-05-19,9,NA,INSITU,0,5,2005.38
2005-06-21,10,NA,INSITU,0,6,2005.47
2005-07-20,11,NA,INSITU,0,7,2005.55
2005-09-01,12,NA,INSITU,0,9,2005.67
2005-09-28,13,NA,INSITU,0,9,2005.74
2005-09-29,14,NA,INSITU,0,9,2005.75
2005-11-01,15,NA,INSITU,0,11,2005.84
2005-11-15,16,NA,INSITU,0,11,2005.88
2005-12-12,17,NA,INSITU,0,12,2005.95
2006-03-29,1,25,INSITU,0,3,2006.24
2006-04-27,2,NA,INSITU,0,4,2006.32
2006-05-23,3,NA,INSITU,0,5,2006.39
2006-05-24,4,NA,INSITU,0,5,2006.4
2006-06-23,5,NA,INSITU,0,6,2006.48
2006-07-24,6,NA,INSITU,0,7,2006.56
2006-08-22,7,NA,INSITU,0,8,2006.64
2006-09-19,8,NA,INSITU,0,9,2006.72
2006-11-06,9,NA,INSITU,0,11,2006.85
2007-02-27,10,NA,INSITU,0,2,2007.16
2007-02-28,11,NA,INSITU,0,2,2007.16
2007-03-28,12,NA,INSITU,0,3,2007.24
2007-04-27,13,NA,INSITU,0,4,2007.32
2007-05-29,14,NA,INSITU,0,5,2007.41
2007-06-27,15,NA,INSITU,0,6,2007.49
2007-07-27,16,NA,INSITU,0,7,2007.57
2007-08-27,17,NA,INSITU,0,8,2007.66
2007-09-25,1,NA,INSITU,0,9,2007.73
2007-10-24,2,NA,INSITU,0,10,2007.81
2007-11-06,3,NA,INSITU,0,11,2007.85
2008-02-20,4,NA,INSITU,0,2,2008.14
2008-03-19,5,NA,INSITU,0,3,2008.22
2008-04-15,6,NA,INSITU,0,4,2008.29
2008-05-15,7,NA,INSITU,0,5,2008.37
2008-07-16,8,NA,INSITU,0,7,2008.54
2008-10-10,9,NA,INSITU,0,10,2008.78
2009-04-23,10,NA,INSITU,0,4,2009.31
2009-12-01,11,NA,INSITU,0,12,2009.92
2010-05-25,12,NA,INSITU,0,5,2010.4
2011-03-01,13,NA,INSITU,0,3,2011.16
2011-04-29,14,NA,INSITU,0,4,2011.33
2011-07-27,15,NA,INSITU,0,7,2011.57
2011-10-10,16,NA,INSITU,0,10,2011.78
2011-10-24,17,NA,INSITU,0,10,2011.81
2004-08-26,1,37,INSITU,0,8,2004.65
2004-09-30,2,41,INSITU,0,9,2004.75
2004-10-26,3,NA,INSITU,0,10,2004.82
2004-11-10,4,NA,INSITU,0,11,2004.86
2004-12-08,5,NA,INSITU,0,12,2004.94
2005-02-09,6,NA,INSITU,0,2,2005.11
2005-03-22,7,NA,INSITU,0,3,2005.22
2005-04-18,8,NA,INSITU,0,4,2005.3
2005-05-18,9,NA,INSITU,0,5,2005.38
2005-06-21,10,NA,INSITU,0,6,2005.47
2005-07-20,11,25,INSITU,0,7,2005.55
2005-09-01,12,46,INSITU,0,9,2005.67
2005-09-29,13,61,INSITU,0,9,2005.75
2005-10-31,14,NA,INSITU,0,10,2005.83
2005-11-16,15,28,INSITU,0,11,2005.88
2005-12-12,16,NA,INSITU,0,12,2005.95
2006-03-28,17,51,INSITU,0,3,2006.24
2006-04-25,1,41,INSITU,0,4,2006.32
2006-05-23,2,NA,INSITU,0,5,2006.39
2006-05-24,3,46,INSITU,0,5,2006.4
2006-06-22,4,23,INSITU,0,6,2006.48
2006-07-21,5,38,INSITU,0,7,2006.55
2006-08-21,6,33,INSITU,0,8,2006.64
2006-09-18,7,43,INSITU,0,9,2006.72
2006-11-03,8,38,INSITU,0,11,2006.84
2006-12-05,9,NA,INSITU,0,12,2006.93
2007-02-28,10,102,INSITU,0,2,2007.16
2007-03-29,11,46,INSITU,0,3,2007.24
2007-04-26,12,25,INSITU,0,4,2007.32
2007-05-30,13,51,INSITU,0,5,2007.41
2007-06-26,14,41,INSITU,0,6,2007.49
2007-07-26,15,41,INSITU,0,7,2007.57
2007-08-24,16,38,INSITU,0,8,2007.65
2007-09-24,17,46,INSITU,0,9,2007.73
2007-10-23,1,30,INSITU,0,10,2007.81
2007-11-07,2,43,INSITU,0,11,2007.85
2008-02-19,3,36,INSITU,0,2,2008.14
2008-03-18,4,61,INSITU,0,3,2008.21
