site,days,date,sat,insitu,type_spec,type
16,0,27-Apr-21,0.864758627,0.4,S2B,S2
2,0,1-May-19,0.885412094,0.35,L8,L8
13,0,1-May-19,1.0990078,0.65,L8,L8
8,0,1-May-19,1.153605945,0.7,L8,L8
5,0,27-Apr-21,1.241933273,0.6,S2B,S2
2,0,18-Oct-16,1.261993936,0.7,S2B,S2
12,0,15-Oct-19,1.323175516,0.4,S2B,S2
15,1,15-Oct-20,1.327633113,0.76,S2B,S2
15,0,1-May-19,1.376306688,0.8,L8,L8
6,0,15-Oct-19,1.386755487,0.4,S2B,S2
15,0,18-Oct-16,1.394302665,0.65,S2B,S2
12,0,18-Oct-16,1.405962465,0.85,S2B,S2
15,1,17-Aug-16,1.408577305,0.94,S2B,S2
6,0,27-Apr-21,1.415340899,0.55,S2B,S2
15,0,15-Oct-19,1.442973225,0.57,S2B,S2
17,0,27-Apr-21,1.467544119,0.75,S2B,S2
6,0,1-May-19,1.546182664,0.85,L8,L8
13,0,18-Oct-16,1.552577903,0.4,S2B,S2
16,0,15-Oct-19,1.611908522,0.45,S2B,S2
15,0,27-Apr-21,1.627012945,0.56,S2B,S2
16,0,18-Oct-16,1.633989894,0.95,S2B,S2
14,0,18-Oct-16,1.647485473,0.9,S2B,S2
12,0,27-Apr-21,1.68571567,0.85,S2B,S2
5,0,18-Oct-16,1.717458902,0.9,S2B,S2
5,0,1-May-19,1.72898833,1.1,L8,L8
3,1,15-Oct-20,1.733929778,0.55,S2B,S2
16,1,15-Oct-20,1.742672064,0.62,S2B,S2
17,0,18-Oct-16,1.749120737,0.8,S2B,S2
6,0,18-Oct-16,1.752889432,0.9,S2B,S2
16,1,17-Aug-16,1.770562128,0.97,S2B,S2
3,0,27-Apr-21,1.797842672,0.63,S2B,S2
12,0,1-May-19,1.809499472,0.65,L8,L8
6,1,17-Aug-16,1.829776748,1.52,S2B,S2
3,1,17-Aug-16,1.848998085,0.74,S2B,S2
3,0,15-Oct-19,1.858352413,0.5,S2B,S2
3,0,18-Oct-16,1.883762286,0.95,S2B,S2
5,1,15-Oct-20,1.903139399,0.6,S2B,S2
8,0,18-Oct-16,1.961495704,1,S2B,S2
6,1,15-Oct-20,1.997252623,0.65,S2B,S2
12,1,15-Oct-20,2.026182729,0.73,S2B,S2
17,1,15-Oct-20,2.04945725,0.55,S2B,S2
6,1,8-Apr-13,2.050635327,0.9,L8,L8
17,1,27-Apr-18,2.068175583,0.7,S2B,S2
17,1,27-Apr-18,2.068175583,0.7,S2B,S2
14,0,1-May-19,2.124448791,0.68,L8,L8
12,1,17-Aug-16,2.270644799,1.09,S2B,S2
5,1,17-Aug-16,2.389390555,0.75,S2B,S2
16,1,8-Apr-13,2.474068279,1.1,L8,L8
3,0,1-May-19,2.785536615,0.95,L8,L8
17,1,17-Aug-16,2.857092086,1.6,S2B,S2
5,1,27-Apr-18,3.177731268,1.25,S2B,S2
