decimaldate,date,yearday,site,satsecchi
2013.218344,3/20/13,79,2,NaN
2013.218344,3/20/13,79,5,NaN
2013.218344,3/20/13,79,6,2.88056887
2013.218344,3/20/13,79,12,1.922311006
2013.218344,3/20/13,79,13,NaN
2013.218344,3/20/13,79,16,3.358941881
2013.218344,3/20/13,79,17,NaN
2013.267625,4/7/13,97,2,0.980577587
2013.267625,4/7/13,97,5,NaN
2013.267625,4/7/13,97,6,2.050635327
2013.267625,4/7/13,97,12,NaN
2013.267625,4/7/13,97,13,NaN
2013.267625,4/7/13,97,16,2.474068279
2013.267625,4/7/13,97,17,NaN
2013.28679,4/14/13,104,2,1.457238849
2013.28679,4/14/13,104,5,2.459562705
2013.28679,4/14/13,104,6,2.129533447
2013.28679,4/14/13,104,12,1.326562347
2013.28679,4/14/13,104,13,1.753940377
2013.28679,4/14/13,104,16,1.872561306
2013.28679,4/14/13,104,17,2.600122958
2013.549624,7/19/13,200,2,0.788991525
2013.549624,7/19/13,200,5,1.804623249
2013.549624,7/19/13,200,6,NaN
2013.549624,7/19/13,200,12,1.534329938
2013.549624,7/19/13,200,13,1.005356486
2013.549624,7/19/13,200,16,1.16535548
2013.549624,7/19/13,200,17,NaN
2013.593429,8/4/13,216,2,0.93405285
2013.593429,8/4/13,216,5,NaN
2013.593429,8/4/13,216,6,NaN
2013.593429,8/4/13,216,12,NaN
2013.593429,8/4/13,216,13,NaN
2013.593429,8/4/13,216,16,NaN
2013.593429,8/4/13,216,17,NaN
2013.68104,9/5/13,248,2,1.312234102
2013.68104,9/5/13,248,5,1.412577362
2013.68104,9/5/13,248,6,1.202448213
2013.68104,9/5/13,248,12,1.430561674
2013.68104,9/5/13,248,13,0.860991544
2013.68104,9/5/13,248,16,1.319165036
2013.68104,9/5/13,248,17,2.315417064
2013.724846,9/21/13,264,2,1.415325562
2013.724846,9/21/13,264,5,1.656378663
2013.724846,9/21/13,264,6,1.4447426
2013.724846,9/21/13,264,12,1.402489198
2013.724846,9/21/13,264,13,1.602736468
2013.724846,9/21/13,264,16,1.875294011
2013.724846,9/21/13,264,17,1.90685282
2013.856263,11/8/13,312,2,1.199448882
2013.856263,11/8/13,312,5,1.059295782
2013.856263,11/8/13,312,6,1.045286866
2013.856263,11/8/13,312,12,0.995102967
2013.856263,11/8/13,312,13,1.037000317
2013.856263,11/8/13,312,16,0.953602611
2013.856263,11/8/13,312,17,1.107544564
2014.162902,2/28/14,59,2,1.566557808
2014.162902,2/28/14,59,5,1.364644367
2014.162902,2/28/14,59,6,2.319207014
2014.162902,2/28/14,59,12,1.784332036
2014.162902,2/28/14,59,13,0.972706342
2014.162902,2/28/14,59,16,1.435672726
2014.162902,2/28/14,59,17,2.014972898
2014.250513,4/1/14,91,2,1.352404147
2014.250513,4/1/14,91,5,1.41185388
2014.250513,4/1/14,91,6,1.636096775
2014.250513,4/1/14,91,12,1.618218427
2014.250513,4/1/14,91,13,1.456194179
2014.250513,4/1/14,91,16,1.893752695
2014.250513,4/1/14,91,17,1.607358808
2014.338125,5/3/14,123,2,NaN
2014.338125,5/3/14,123,5,2.123126813
2014.338125,5/3/14,123,6,1.622344672
2014.338125,5/3/14,123,12,NaN
