station,measureDate,decimaldate,yearday,StaGrpCode,StaType,Transect,Latitude,Longitude,time,analyst,tidestage,scttemp,sctsal,sctcond,dotemp,do,secchi,depth,nh4,po4,TDN,chlor_a,phaeopigments_a,tss,pom,pim,,,,,,,,,
CM,9/30/04,2004.750171,274,2,Mainland Creek,Oyster,37.287616,-75.92876,1345,ART,LATE EBB,21,9.5,16.14,22,5.7,NaN,1.5,,,,,,,,,,,,,,,,,
CM,10/26/04,2004.821355,300,2,Mainland Creek,Oyster,37.287616,-75.92876,1100,KMO/AS,MID EBB,14.1,8.6,14.85,15,6.8,NaN,1.6,3.12,0.284,,,,17.333,13.889,3.444,,,,,,,,,
CM,11/10/04,2004.862423,315,2,Mainland Creek,Oyster,37.287616,-75.92876,950,KMO/AS,MID EBB,9.3,3,5.49,,,NaN,1,3.88,,,,,,,,,,,,,,,,
CM,12/8/04,2004.939083,343,2,Mainland Creek,Oyster,37.287616,-75.92876,855,ART,MID EBB,13.5,0.4,0.868,,,NaN,,,,,,,,,,,,,,,,,,
CM,2/9/05,2005.111567,40,2,Mainland Creek,Oyster,37.287616,-75.92876,1205,KMO/ART,MID EBB,8.1,3.9,6.51,8.3,13.33,NaN,1,,,,,,,,,,,,,,,,,
CM,3/22/05,2005.223819,81,2,Mainland Creek,Oyster,37.287616,-75.92876,1015,KMO/ART,MID EBB,9.8,0.4,0.859,9.9,13.44,NaN,1,,,,,,9.7778,3.888866667,5.888866667,,,,,,,,,
CM,4/18/05,2005.297741,108,2,Mainland Creek,Oyster,37.287616,-75.92876,915,KMO/ART,MID EBB,11.6,0.3,0.647,11.7,12.32,NaN,0.7,2.413333333,0.278666667,104.7173333,,,13.66666667,6.1111,7.555533333,,,,,,,,,
CM,5/18/05,2005.379877,138,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,,,,NaN,,1.63125,0.22875,105.9726667,,,17.1111,5.666666667,11.44443333,,,,,,,,,
CM,5/19/05,2005.382615,139,2,Mainland Creek,Oyster,37.287616,-75.92876,1200,KMO/ART,LATE EBB,15.9,0.3,0.705,15.9,8.62,NaN,0.7,,,,,,,,,,,,,,,,,
CM,6/21/05,2005.472964,172,2,Mainland Creek,Oyster,37.287616,-75.92876,1457,KMO/ART,LATE EBB,24.6,1.3,2.468,24.9,11.65,NaN,0.5,8.106666667,0.714,,,,11.55553333,4,7.555533333,,,,,,,,,
